%,yes_yes,yes_no,no_yes
0.0,0.99045,0.99045,0.9937
0.05,0.9874166666666667,0.9902166666666666,0.9914166666666666
0.1,0.9855666666666667,0.9906166666666667,0.9862
0.15,0.9691,0.97755,0.9780333333333333
0.2,0.9854333333333334,0.9928833333333333,0.9608666666666666
0.25,0.9811,0.9927666666666667,0.92215
0.3,0.9808333333333333,0.99165,0.84555
0.35,0.9794,0.9923333333333333,0.6856333333333333
0.4,0.9713,0.9881333333333333,0.45245
0.45,0.9656333333333333,0.9871666666666666,0.2554666666666667
0.5,0.9629,0.9882333333333333,0.17876666666666666
0.55,0.9586666666666667,0.9851833333333333,0.15168333333333334
0.6,0.9458666666666666,0.9796666666666667,0.1302
0.65,0.9282,0.97205,0.11466666666666667
0.7,0.8920833333333333,0.9582,0.10493333333333334
0.75,0.8049666666666667,0.9215333333333333,0.10113333333333334
0.8,0.6668666666666667,0.46405,0.09905
0.85,0.28195,0.14483333333333334,0.09826666666666667
0.9,0.13785,0.09871666666666666,0.09758333333333333
0.95,0.11163333333333333,0.11236666666666667,0.0974
